Subclass in Use Report,
Name:,Production 05Aug05
GUID:,BC80EC566DB14C97A5AD7537D72EF82B
Schema:,agile
Server:,//aglnlorrdev15.us.dell.com
VersionDB:,9.3.525.24
Create Time:,08/07/2024 05:24:35 AM PDT

Subclass,Class,Total Objects,Deleted Objects,Query,Criteria,Workflow,Privilege,Role
,,,,,,,"(Role VIEWER E) GetFile Adapter,AC",Modify Devices
,,,,,,,"Create-Adapter,AC",Role MOD PARTS P3 PROJ PLNR
,,,,,,,"(Role VIEWER G) GetFile Adapter,AC",Role VIEWER J 3B
,,,,,,,"(Role MOD PARTS P3 PROJ PLNR) Mod P3 Adapter,AC",Role VIEWER H
,,,,,,,"(Role VIEWER I) GetFile Adapter,AC",Role VIEWER C
,,,,,,,,Role PGDS ANALYST
,,,,,,,,Role VIEWER A
,,,,,,,,Role VIEWER G
,,,,,,,,Role WWP APCC CREATOR
,,,,,,,,Type D Role
,,,,,,,,Role MOD PARTS P3 CMA'S
,,,,,,,,Role VIEWER B
,,,,,,,,Role VIEWER K 3D1
,,,,,,,,Role VIEWER D
Administrator Report,Standard Reports,28,5,,,,,
AMC - AM Merge Center,Parts,396,0,(Role VIEWER K 3D1) GetFile AMC-AM Merge Center,(Role VIEWER K 3D1) GetFile AMC-AM Merge Center,,(Role VIEWER D) GetFile AMC-AM Merge Center,Type O Role
,,,,(Role VIEWER B) GetFile AMC-AM Merge Center,(Role VIEWER B) GetFile AMC-AM Merge Center,,(Role VIEWER F) GetFile AMC-AM Merge Center,Role VIEWER J 3B
,,,,(Role VIEWER I) GetFile AMC-AM Merge Center,(Role VIEWER I) GetFile AMC-AM Merge Center,,(Role VIEWER J 3B) GetFile AMC-AM Merge Center,Role VIEWER H
,,,,(Role VIEWER D) GetFile AMC-AM Merge Center,(Role VIEWER D) GetFile AMC-AM Merge Center,,(Role VIEWER H) GetFile AMC-AM Merge Center,Role VIEWER C
,,,,(Role VIEWER J 3B) GetFile AMC-AM Merge Center,(Role VIEWER J 3B) GetFile AMC-AM Merge Center,,Checkout-AMC - AM Merge Center,"Create All Items (Subclass Level)-No LOB, Product Hierarchies, ET-DATA"
,,,,(Role VIEWER C) GetFile AMC-AM Merge Center,(Role VIEWER C) GetFile AMC-AM Merge Center,,Upgrade Supplier Access - Modify AMC - AM Merge Center,Role VIEWER E
,,,,(Role VIEWER H) GetFile AMC-AM Merge Center,(Role VIEWER H) GetFile AMC-AM Merge Center,,(Role VIEWER I) GetFile AMC-AM Merge Center,Create All Items (Subclass Level)
,,,,All Parts-AMC - AM Merge Center (Subclass Access),All Parts-AMC - AM Merge Center (Subclass Access),,(Role VIEWER C) GetFile AMC-AM Merge Center,Role PGDS ANALYST
,,,,(Role VIEWER F) GetFile AMC-AM Merge Center,(Role VIEWER F) GetFile AMC-AM Merge Center,,(Role VIEWER K 3D1) GetFile AMC-AM Merge Center,Role WWP APCC CREATOR
,,,,(Role VIEWER G) GetFile AMC-AM Merge Center,(Role VIEWER G) GetFile AMC-AM Merge Center,,Create-AMC - AM Merge Center,Role VIEWER G
,,,,(Role VIEWER E) GetFile AMC-AM Merge Center,(Role VIEWER E) GetFile AMC-AM Merge Center,,(Role VIEWER E) GetFile AMC-AM Merge Center,Role DELL LEGAL
,,,,For AMC - AM Merge Center Only,For AMC - AM Merge Center Only,,Modify Attachments-AMC - AM Merge Center,Type D Role
,,,,,,,Checkin-AMC-AM Merge Center,Role VIEWER I
,,,,,,,(Role VIEWER G) GetFile AMC-AM Merge Center,Role DOCUMENT SUBMITTER
,,,,,,,Checkout-Acoustical Document,Openmanage Viewer
,,,,,,,(Role VIEWER B) GetFile AMC-AM Merge Center,Role VIEWER K 3D1
,,,,,,,,Role VIEWER B
,,,,,,,,Type D Role - Exclude Competitor (MITAC INTERNATIONAL CORP)
,,,,,,,,Role VIEWER D
,,,,,,,,"Type D Role - Exclude Competitor (MICRO STAR INTERNATIONAL CO., LTD.)"
,,,,,,,,Role Check In Check Out
,,,,,,,,Role VIEWER F
,,,,,,,,Role CREATOR
Artwork,Parts,28103,0,(Role VIEWER H) GetFile Artwork,(Role VIEWER H) GetFile Artwork,,(Role VIEWER B) GetFile Artwork,Type O Role
,,,,For Artwork Only - Exclude SBOM,For Artwork Only - Exclude SBOM,,(Role VIEWER K 3D1) GetFile Artwork,"Create All Items (Subclass Level)-No LOB, Product Hierarchies, ET-DATA"
,,,,All Parts-Artwork (Subclass Access),All Parts-Artwork (Subclass Access),,(Role MOD PARTS P3 CMA'S) Mod P3 Artwork,Role VIEWER E
,,,,For Artwork Only,For Artwork Only,,Checkout-Artwork,Create All Items (Subclass Level)
