Subclass in Use Report,
Name:,Production 05Aug05
GUID:,BC80EC566DB14C97A5AD7537D72EF82B
Schema:,agile
Server:,//aglnlorrdev15.us.dell.com
VersionDB:,9.3.525.24
Create Time:,08/07/2024 05:24:35 AM PDT

Subclass,Class,Total Objects,Deleted Objects,Query,Criteria,Workflow,Privilege,Role
,,,,For Drive Only,For Drive Only,,Upgrade Supplier Access - Modify Drive,Role DELL LEGAL
,,,,(Role VIEWER C) GetFile Drive,(Role VIEWER C) GetFile Drive,,Modify Attachments-Drive,Role VIEWER I
,,,,(Role VIEWER B) GetFile Drive,(Role VIEWER B) GetFile Drive,,(Role MOD PARTS P3 PROJ PLNR) Mod P3 Drive,Role DOCUMENT SUBMITTER
,,,,(Role VIEWER E) GetFile Drive,(Role VIEWER E) GetFile Drive,,(Role MOD PARTS P3 CMA'S) Mod P3 Drive,Openmanage Viewer
,,,,(Role VIEWER D) GetFile Drive,(Role VIEWER D) GetFile Drive,,(Role VIEWER C) GetFile Drive,Type D Role - Exclude Competitor (MITAC INTERNATIONAL CORP)
,,,,(Role VIEWER G) GetFile Drive,(Role VIEWER G) GetFile Drive,,(Role VIEWER B) GetFile Drive,"Type D Role - Exclude Competitor (MICRO STAR INTERNATIONAL CO., LTD.)"
,,,,(Role VIEWER F) GetFile Drive,(Role VIEWER F) GetFile Drive,,(Role VIEWER E) GetFile Drive,Role Check In Check Out
,,,,(Role VIEWER I) GetFile Drive,(Role VIEWER I) GetFile Drive,,Create-Drive,Role CREATOR
,,,,(Role VIEWER H) GetFile Drive,(Role VIEWER H) GetFile Drive,,(Role VIEWER D) GetFile Drive,Role VIEWER F
,,,,,,,(Role VIEWER G) GetFile Drive,Role READ/DISCOVER P3
,,,,,,,(Role SUPERUSER) Modify Drive TA Flex Fields,Role MOD PARTS P3 PROJ PLNR
,,,,,,,Checkin-Drive,Modify Devices
,,,,,,,(Role READ/DISCOVER P3) Discover P3 Drive,Role VIEWER J 3B
,,,,,,,(Role VIEWER F) GetFile Drive,Role VIEWER H
,,,,,,,(Role VIEWER I) GetFile Drive,Role VIEWER C
,,,,,,,Checkout-Drive,Role PGDS ANALYST
,,,,,,,(Role VIEWER H) GetFile Drive,Role VIEWER A
,,,,,,,,Role VIEWER G
,,,,,,,,Role WWP APCC CREATOR
,,,,,,,,Type D Role
,,,,,,,,Role MOD PARTS P3 CMA'S
,,,,,,,,Role SUPERUSER
,,,,,,,,Role VIEWER K 3D1
,,,,,,,,Role VIEWER B
,,,,,,,,Role VIEWER D
Drive Bay,Parts,434,0,(Role MOD PARTS P3 PROJ PLNR) Mod P3 Drive Bay,(Role MOD PARTS P3 PROJ PLNR) Mod P3 Drive Bay,,(Role VIEWER C) GetFile Drive Bay,Type O Role
,,,,For Drive Bay Only,For Drive Bay Only,,(Role VIEWER E) GetFile Drive Bay,Role VIEWER E
,,,,(Role VIEWER G) GetFile Drive Bay,(Role VIEWER G) GetFile Drive Bay,,Create-Drive Bay,"Create All Items (Subclass Level)-No LOB, Product Hierarchies, ET-DATA"
,,,,(Role VIEWER K 3D1) GetFile Drive Bay,(Role VIEWER K 3D1) GetFile Drive Bay,,(Role VIEWER G) GetFile Drive Bay,Create All Items (Subclass Level)
,,,,For Drive Bay Only - Exclude SBOM,For Drive Bay Only - Exclude SBOM,,(Role MOD PARTS P3 PROJ PLNR) Mod P3 Drive Bay,Role DELL LEGAL
,,,,(Role VIEWER B) GetFile Drive Bay,(Role VIEWER B) GetFile Drive Bay,,(Role VIEWER I) GetFile Drive Bay,Role VIEWER I
,,,,(Role VIEWER C) GetFile Drive Bay,(Role VIEWER C) GetFile Drive Bay,,(Role VIEWER K 3D1) GetFile Drive Bay,Role DOCUMENT SUBMITTER
,,,,(Role VIEWER D) GetFile Drive Bay,(Role VIEWER D) GetFile Drive Bay,,(Role READ/DISCOVER P3) Read P3 Drive Bay,Openmanage Viewer
,,,,(Role VIEWER F) GetFile Drive Bay,(Role VIEWER F) GetFile Drive Bay,,Upgrade Supplier Access - Modify Drive Bay,Type D Role - Exclude Competitor (MITAC INTERNATIONAL CORP)
,,,,(Role VIEWER I) GetFile Drive Bay,(Role VIEWER I) GetFile Drive Bay,,(Role VIEWER B) GetFile Drive Bay,"Type D Role - Exclude Competitor (MICRO STAR INTERNATIONAL CO., LTD.)"
,,,,(Role VIEWER H) GetFile Drive Bay,(Role VIEWER H) GetFile Drive Bay,,(Role VIEWER D) GetFile Drive Bay,Role Check In Check Out
,,,,(Role VIEWER E) GetFile Drive Bay,(Role VIEWER E) GetFile Drive Bay,,Modify Attachments-Drive Bay,Role CREATOR
,,,,(Role VIEWER J 3B) GetFile Drive Bay,(Role VIEWER J 3B) GetFile Drive Bay,,(Role VIEWER F) GetFile Drive Bay,Role VIEWER F
,,,,All Parts-Drive Bay (Subclass Access),All Parts-Drive Bay (Subclass Access),,(Role VIEWER J 3B) GetFile Drive Bay,Role MOD PARTS P3 PROJ PLNR
,,,,,,,(Role READ/DISCOVER P3) Discover P3 Drive Bay,Role READ/DISCOVER P3
,,,,,,,Checkin-Drive Bay,Modify Devices
,,,,,,,(Role MOD PARTS P3 CMA'S) Mod P3 Drive Bay,Role VIEWER J 3B
,,,,,,,(Role VIEWER H) GetFile Drive Bay,Role VIEWER H
,,,,,,,Checkout-Drive Bay,Role VIEWER C
,,,,,,,,Role PGDS ANALYST
,,,,,,,,Role WWP APCC CREATOR
,,,,,,,,Role VIEWER G
,,,,,,,,Role VIEWER A
,,,,,,,,Type D Role
,,,,,,,,Role MOD PARTS P3 CMA'S
,,,,,,,,Role VIEWER K 3D1
,,,,,,,,Role VIEWER B
,,,,,,,,Role VIEWER D
"Drive,Blu-ray",Parts,217,0,"For Drive,Blu-ray Only","For Drive,Blu-ray Only",,"(Role VIEWER H) GetFile Drive,Blu-ray",Type O Role
,,,,"All Parts-Drive,Blu-ray (Subclass Access)","All Parts-Drive,Blu-ray (Subclass Access)",,"(Role VIEWER I) GetFile Drive,Blu-ray",Role VIEWER E
,,,,"(Role MOD PARTS P3 PROJ PLNR) Mod P3 Drive,Blu-ray","(Role MOD PARTS P3 PROJ PLNR) Mod P3 Drive,Blu-ray",,"(Role VIEWER F) GetFile Drive,Blu-ray","Create All Items (Subclass Level)-No LOB, Product Hierarchies, ET-DATA"
,,,,"For Drive,Blu-ray Non-Proprietary","For Drive,Blu-ray Non-Proprietary",,"(Role VIEWER G) GetFile Drive,Blu-ray",Create All Items (Subclass Level)
,,,,"For Drive,Blu-ray Only - Exclude SBOM","For Drive,Blu-ray Only - Exclude SBOM",,"(Role READ/DISCOVER P3) Discover P3 Drive,BD",Role DELL LEGAL
,,,,,,,"Checkin-Drive,Blu-ray",Role VIEWER I
,,,,,,,"(Role READ/DISCOVER P3) Discover P3 Drive,Blu-ray",Role DOCUMENT SUBMITTER
,,,,,,,"Checkin-Drive,Blu-ray Non-Proprietary",Openmanage Viewer
,,,,,,,"(Role VIEWER J 3B) GetFile Drive,Blu-ray",Type D Role - Exclude Competitor (MITAC INTERNATIONAL CORP)
,,,,,,,"(Role VIEWER K 3D1) GetFile Drive,Blu-ray",Role Check In Check Out
,,,,,,,"Upgrade Supplier Access - Modify Drive,Blu-ray","Type D Role - Exclude Competitor (MICRO STAR INTERNATIONAL CO., LTD.)"
,,,,,,,"(Role READ/DISCOVER P3) Read P3 Drive,BD",Role VIEWER F
,,,,,,,"(Role READ/DISCOVER P3) Read P3 Drive,Blu-ray",Role CREATOR
,,,,,,,"(Role MOD PARTS P3 CMA'S) Mod P3 Drive,Blu-ray",Role READ/DISCOVER P3
,,,,,,,"Create-Drive,Blu-ray",Modify Devices
,,,,,,,"(Role MOD PARTS P3 CMA'S) Mod P3 Drive,BD",Role MOD PARTS P3 PROJ PLNR
,,,,,,,"Modify Attachments-Drive,Blu-ray",Role VIEWER J 3B
,,,,,,,"Checkout-Drive,Blu-ray",Role VIEWER H
,,,,,,,"(Role MOD PARTS P3 PROJ PLNR) Mod P3 Drive,Blu-ray",Role VIEWER C
,,,,,,,"(Role VIEWER D) GetFile Drive,Blu-ray",Role PGDS ANALYST
,,,,,,,"(Role VIEWER E) GetFile Drive,Blu-ray",Role VIEWER G
,,,,,,,"(Role VIEWER B) GetFile Drive,Blu-ray",Role VIEWER A
,,,,,,,"(Role VIEWER C) GetFile Drive,Blu-ray",Role WWP APCC CREATOR
,,,,,,,,Type D Role
,,,,,,,,Role MOD PARTS P3 CMA'S
,,,,,,,,Role VIEWER K 3D1
,,,,,,,,Role VIEWER B
,,,,,,,,Role VIEWER D
"Drive,CD",Parts,374,0,"(Role VIEWER K 3D1) GetFile Drive,CD","(Role VIEWER K 3D1) GetFile Drive,CD",,"(Role VIEWER K 3D1) GetFile Drive,CD",Type O Role
,,,,"All Parts-Drive,CD (Subclass Access)","All Parts-Drive,CD (Subclass Access)",,"Upgrade Supplier Access - Modify Drive,CD",Role VIEWER E
,,,,"(Role VIEWER G) GetFile Drive,CD","(Role VIEWER G) GetFile Drive,CD",,"Checkin-Drive,CD","Create All Items (Subclass Level)-No LOB, Product Hierarchies, ET-DATA"
,,,,"For Drive,CD Only - Exclude SBOM","For Drive,CD Only - Exclude SBOM",,"(Role READ/DISCOVER P3) Discover P3 Drive,CD",Create All Items (Subclass Level)
,,,,"(Role VIEWER B) GetFile Drive,CD","(Role VIEWER B) GetFile Drive,CD",,"(Role VIEWER D) GetFile Drive,CD",Role DELL LEGAL
,,,,"(Role VIEWER D) GetFile Drive,CD","(Role VIEWER D) GetFile Drive,CD",,"(Role VIEWER F) GetFile Drive,CD",Role VIEWER I
,,,,"(Role MOD PARTS P3 PROJ PLNR) Mod P3 Drive,CD","(Role MOD PARTS P3 PROJ PLNR) Mod P3 Drive,CD",,"(Role MOD PARTS P3 PROJ PLNR) Mod P3 Drive,CD",Role DOCUMENT SUBMITTER
,,,,"(Role VIEWER H) GetFile Drive,CD","(Role VIEWER H) GetFile Drive,CD",,"(Role VIEWER J 3B) GetFile Drive,CD",Openmanage Viewer
,,,,"(Role VIEWER J 3B) GetFile Drive,CD","(Role VIEWER J 3B) GetFile Drive,CD",,"(Role READ/DISCOVER P3) Read P3 Drive,CD",Type D Role - Exclude Competitor (MITAC INTERNATIONAL CORP)
,,,,"For Drive,CD Only","For Drive,CD Only",,"(Role VIEWER B) GetFile Drive,CD","Type D Role - Exclude Competitor (MICRO STAR INTERNATIONAL CO., LTD.)"
,,,,"(Role VIEWER C) GetFile Drive,CD","(Role VIEWER C) GetFile Drive,CD",,"(Role VIEWER H) GetFile Drive,CD",Role Check In Check Out
,,,,"(Role VIEWER F) GetFile Drive,CD","(Role VIEWER F) GetFile Drive,CD",,"(Role VIEWER C) GetFile Drive,CD",Role VIEWER F
,,,,"(Role VIEWER I) GetFile Drive,CD","(Role VIEWER I) GetFile Drive,CD",,"Modify Attachments-Drive,CD",Role CREATOR
,,,,"(Role VIEWER E) GetFile Drive,CD","(Role VIEWER E) GetFile Drive,CD",,"(Role VIEWER E) GetFile Drive,CD",Role READ/DISCOVER P3
,,,,,,,"Create-Drive,CD",Role MOD PARTS P3 PROJ PLNR
,,,,,,,"(Role VIEWER G) GetFile Drive,CD",Modify Devices
,,,,,,,"Checkout-Drive,CD",Role VIEWER J 3B
,,,,,,,"(Role MOD PARTS P3 CMA'S) Mod P3 Drive,CD",Role VIEWER H
,,,,,,,"(Role VIEWER I) GetFile Drive,CD",Role VIEWER C
,,,,,,,,Role PGDS ANALYST
,,,,,,,,Role VIEWER A
,,,,,,,,Role VIEWER G
,,,,,,,,Role WWP APCC CREATOR
,,,,,,,,Type D Role
,,,,,,,,Role MOD PARTS P3 CMA'S
,,,,,,,,Role VIEWER K 3D1
,,,,,,,,Role VIEWER B
,,,,,,,,Role VIEWER D
"Drive,Combo",Parts,187,0,"All Parts-Drive,Combo (Subclass Access)","All Parts-Drive,Combo (Subclass Access)",,"(Role VIEWER C) GetFile Drive,Combo",Type O Role
,,,,"(Role VIEWER J 3B) GetFile Drive,Combo","(Role VIEWER J 3B) GetFile Drive,Combo",,"(Role VIEWER E) GetFile Drive,Combo",Role VIEWER E
,,,,"(Role VIEWER B) GetFile Drive,Combo","(Role VIEWER B) GetFile Drive,Combo",,"(Role VIEWER G) GetFile Drive,Combo","Create All Items (Subclass Level)-No LOB, Product Hierarchies, ET-DATA"
,,,,"(Role VIEWER G) GetFile Drive,Combo","(Role VIEWER G) GetFile Drive,Combo",,"Checkin-Drive,Combo",Create All Items (Subclass Level)
,,,,"(Role VIEWER K 3D1) GetFile Drive,Combo","(Role VIEWER K 3D1) GetFile Drive,Combo",,"(Role READ/DISCOVER P3) Discover P3 Drive,Combo",Role DELL LEGAL
,,,,"(Role VIEWER C) GetFile Drive,Combo","(Role VIEWER C) GetFile Drive,Combo",,"(Role READ/DISCOVER P3) Read P3 Drive,Combo",Role VIEWER I
,,,,"(Role MOD PARTS P3 PROJ PLNR) Mod P3 Drive,Combo","(Role MOD PARTS P3 PROJ PLNR) Mod P3 Drive,Combo",,"(Role VIEWER I) GetFile Drive,Combo",Role DOCUMENT SUBMITTER
,,,,"For Drive,Combo Only - Exclude SBOM","For Drive,Combo Only - Exclude SBOM",,"(Role VIEWER K 3D1) GetFile Drive,Combo",Openmanage Viewer
,,,,"(Role VIEWER E) GetFile Drive,Combo","(Role VIEWER E) GetFile Drive,Combo",,"Upgrade Supplier Access - Modify Drive,Combo",Type D Role - Exclude Competitor (MITAC INTERNATIONAL CORP)
,,,,"For Drive,Combo Only","For Drive,Combo Only",,"Create-Drive,Combo",Role Check In Check Out
,,,,"(Role VIEWER I) GetFile Drive,Combo","(Role VIEWER I) GetFile Drive,Combo",,"(Role VIEWER D) GetFile Drive,Combo","Type D Role - Exclude Competitor (MICRO STAR INTERNATIONAL CO., LTD.)"
,,,,"(Role VIEWER F) GetFile Drive,Combo","(Role VIEWER F) GetFile Drive,Combo",,"(Role VIEWER F) GetFile Drive,Combo",Role VIEWER F
,,,,"(Role VIEWER D) GetFile Drive,Combo","(Role VIEWER D) GetFile Drive,Combo",,"(Role VIEWER B) GetFile Drive,Combo",Role CREATOR
,,,,"(Role VIEWER H) GetFile Drive,Combo","(Role VIEWER H) GetFile Drive,Combo",,"(Role MOD PARTS P3 CMA'S) Mod P3 Drive,Combo",Role READ/DISCOVER P3
,,,,,,,"Modify Attachments-Drive,Combo",Modify Devices
,,,,,,,"Checkout-Drive,Combo",Role MOD PARTS P3 PROJ PLNR
,,,,,,,"(Role VIEWER J 3B) GetFile Drive,Combo",Role VIEWER J 3B
,,,,,,,"(Role VIEWER H) GetFile Drive,Combo",Role VIEWER H
,,,,,,,"(Role MOD PARTS P3 PROJ PLNR) Mod P3 Drive,Combo",Role VIEWER C
,,,,,,,,Role PGDS ANALYST
,,,,,,,,Role VIEWER G
,,,,,,,,Role VIEWER A
,,,,,,,,Role WWP APCC CREATOR
,,,,,,,,Type D Role
,,,,,,,,Role MOD PARTS P3 CMA'S
,,,,,,,,Role VIEWER B
,,,,,,,,Role VIEWER K 3D1
,,,,,,,,Role VIEWER D
"Drive,DVD",Parts,574,0,"(Role VIEWER I) GetFile Drive,DVD","(Role VIEWER I) GetFile Drive,DVD",,"Checkin-Drive,DVD",Type O Role
,,,,"(Role VIEWER E) GetFile Drive,DVD","(Role VIEWER E) GetFile Drive,DVD",,"(Role READ/DISCOVER P3) Discover P3 Drive,DVD","Create All Items (Subclass Level)-No LOB, Product Hierarchies, ET-DATA"
,,,,"(Role VIEWER C) GetFile Drive,DVD","(Role VIEWER C) GetFile Drive,DVD",,"(Role MOD PARTS P3 PROJ PLNR) Mod P3 Drive,DVD",Role VIEWER E
,,,,"(Role VIEWER G) GetFile Drive,DVD","(Role VIEWER G) GetFile Drive,DVD",,"(Role VIEWER I) GetFile Drive,DVD",Create All Items (Subclass Level)
,,,,"(Role VIEWER B) GetFile Drive,DVD","(Role VIEWER B) GetFile Drive,DVD",,"(Role VIEWER D) GetFile Drive,DVD",Role DELL LEGAL
,,,,"(Role VIEWER D) GetFile Drive,DVD","(Role VIEWER D) GetFile Drive,DVD",,"(Role VIEWER K 3D1) GetFile Drive,DVD",Role VIEWER I
,,,,"(Role VIEWER K 3D1) GetFile Drive,DVD","(Role VIEWER K 3D1) GetFile Drive,DVD",,"Create-Drive,DVD",Role DOCUMENT SUBMITTER
,,,,"(Role MOD PARTS P3 PROJ PLNR) Mod P3 Drive,DVD","(Role MOD PARTS P3 PROJ PLNR) Mod P3 Drive,DVD",,"(Role VIEWER F) GetFile Drive,DVD",Openmanage Viewer
,,,,"(Role VIEWER J 3B) GetFile Drive,DVD","(Role VIEWER J 3B) GetFile Drive,DVD",,"Upgrade Supplier Access - Modify Drive, DVD",Type D Role - Exclude Competitor (MITAC INTERNATIONAL CORP)
,,,,"For Drive,DVD Only - Exclude SBOM","For Drive,DVD Only - Exclude SBOM",,"(Role READ/DISCOVER P3) Read P3 Drive,DVD",Role Check In Check Out
,,,,"All Parts-Drive,DVD (Subclass Access)","All Parts-Drive,DVD (Subclass Access)",,"Modify Attachments-Drive,DVD","Type D Role - Exclude Competitor (MICRO STAR INTERNATIONAL CO., LTD.)"
,,,,"(Role VIEWER H) GetFile Drive,DVD","(Role VIEWER H) GetFile Drive,DVD",,"(Role VIEWER B) GetFile Drive,DVD",Role CREATOR
,,,,"For Drive,DVD Only","For Drive,DVD Only",,"(Role VIEWER J 3B) GetFile Drive,DVD",Role VIEWER F
,,,,"(Role VIEWER F) GetFile Drive,DVD","(Role VIEWER F) GetFile Drive,DVD",,"(Role VIEWER C) GetFile Drive,DVD",Role READ/DISCOVER P3
,,,,,,,"(Role VIEWER E) GetFile Drive,DVD",Role MOD PARTS P3 PROJ PLNR
,,,,,,,"(Role MOD PARTS P3 CMA'S) Mod P3 Drive,DVD",Modify Devices
,,,,,,,"(Role VIEWER H) GetFile Drive,DVD",Role VIEWER J 3B
,,,,,,,"(Role VIEWER G) GetFile Drive,DVD",Role VIEWER H
,,,,,,,"Checkout-Drive,DVD",Role VIEWER C
,,,,,,,,Role PGDS ANALYST
,,,,,,,,Role WWP APCC CREATOR
,,,,,,,,Role VIEWER A
,,,,,,,,Role VIEWER G
,,,,,,,,Type D Role
,,,,,,,,Role MOD PARTS P3 CMA'S
,,,,,,,,Role VIEWER K 3D1
,,,,,,,,Role VIEWER B
,,,,,,,,Role VIEWER D
"Drive,Floppy",Parts,308,0,"(Role MOD PARTS P3 PROJ PLNR) Mod P3 Drive,Floppy","(Role MOD PARTS P3 PROJ PLNR) Mod P3 Drive,Floppy",,"(Role VIEWER F) GetFile Drive,Floppy",Type O Role
,,,,"(Role VIEWER E) GetFile Drive,Floppy","(Role VIEWER E) GetFile Drive,Floppy",,"(Role READ/DISCOVER P3) Discover P3 Drive,Floppy",Role VIEWER E
,,,,"For Drive,Floppy Only","For Drive,Floppy Only",,"Checkin-Drive,Floppy","Create All Items (Subclass Level)-No LOB, Product Hierarchies, ET-DATA"
,,,,"(Role VIEWER G) GetFile Drive,Floppy","(Role VIEWER G) GetFile Drive,Floppy",,"Checkout-Drive,Floppy",Create All Items (Subclass Level)
,,,,"(Role VIEWER F) GetFile Drive,Floppy","(Role VIEWER F) GetFile Drive,Floppy",,"Upgrade Supplier Access - Modify Drive,Floppy",Role DELL LEGAL
,,,,"All Parts-Drive,Floppy (Subclass Access)","All Parts-Drive,Floppy (Subclass Access)",,"(Role VIEWER J 3B) GetFile Drive,Floppy",Role VIEWER I
,,,,"(Role VIEWER H) GetFile Drive,Floppy","(Role VIEWER H) GetFile Drive,Floppy",,"(Role MOD PARTS P3 CMA'S) Mod P3 Drive,Floppy",Role DOCUMENT SUBMITTER
,,,,"(Role VIEWER D) GetFile Drive,Floppy","(Role VIEWER D) GetFile Drive,Floppy",,"(Role READ/DISCOVER P3) Read P3 Drive,Floppy",Openmanage Viewer
,,,,"(Role VIEWER J 3B) GetFile Drive,Floppy","(Role VIEWER J 3B) GetFile Drive,Floppy",,"(Role VIEWER H) GetFile Drive,Floppy",Type D Role - Exclude Competitor (MITAC INTERNATIONAL CORP)
,,,,"(Role VIEWER I) GetFile Drive,Floppy","(Role VIEWER I) GetFile Drive,Floppy",,"(Role VIEWER C) GetFile Drive,Floppy",Role Check In Check Out
,,,,"(Role VIEWER K 3D1) GetFile Drive,Floppy","(Role VIEWER K 3D1) GetFile Drive,Floppy",,"(Role VIEWER E) GetFile Drive,Floppy","Type D Role - Exclude Competitor (MICRO STAR INTERNATIONAL CO., LTD.)"
,,,,"For Drive,Floppy Only - Exclude SBOM","For Drive,Floppy Only - Exclude SBOM",,"Modify Attachments-Drive,Floppy",Role VIEWER F
,,,,"(Role VIEWER B) GetFile Drive,Floppy","(Role VIEWER B) GetFile Drive,Floppy",,"(Role VIEWER G) GetFile Drive,Floppy",Role CREATOR
,,,,"(Role VIEWER C) GetFile Drive,Floppy","(Role VIEWER C) GetFile Drive,Floppy",,"(Role VIEWER B) GetFile Drive,Floppy",Role READ/DISCOVER P3
,,,,,,,"(Role MOD PARTS P3 PROJ PLNR) Mod P3 Drive,Floppy",Modify Devices
,,,,,,,"(Role VIEWER I) GetFile Drive,Floppy",Role MOD PARTS P3 PROJ PLNR
,,,,,,,"(Role VIEWER K 3D1) GetFile Drive,Floppy",Role VIEWER J 3B
,,,,,,,"(Role VIEWER D) GetFile Drive,Floppy",Role VIEWER H
,,,,,,,"Create-Drive,Floppy",Role VIEWER C
,,,,,,,,Role PGDS ANALYST
,,,,,,,,Role VIEWER A
,,,,,,,,Role VIEWER G
,,,,,,,,Role WWP APCC CREATOR
,,,,,,,,Type D Role
,,,,,,,,Role MOD PARTS P3 CMA'S
,,,,,,,,Role VIEWER B
,,,,,,,,Role VIEWER K 3D1
,,,,,,,,Role VIEWER D
"Drive,Hard",Parts,13820,0,"(Role VIEWER C) GetFile Drive,Hard","(Role VIEWER C) GetFile Drive,Hard",,"(Role Bulk Update User) Modify P3 Drive,Hard",Type O Role
,,,,"All Parts-Drive,Hard (Subclass Access)","All Parts-Drive,Hard (Subclass Access)",,"(Role READ/DISCOVER P3) Discover P3 Drive,Hard",Role Bulk Update User
,,,,"(Role MOD PARTS P3 PROJ PLNR) Mod P3 Drive,Hard","(Role MOD PARTS P3 PROJ PLNR) Mod P3 Drive,Hard",,"Upgrade Supplier Access - Modify Drive, Hard","Create All Items (Subclass Level)-No LOB, Product Hierarchies, ET-DATA"
,,,,"(Role VIEWER I) GetFile Drive,Hard","(Role VIEWER I) GetFile Drive,Hard",,"Checkin-Drive,Hard",Role VIEWER E
,,,,"(Role VIEWER E) GetFile Drive,Hard","(Role VIEWER E) GetFile Drive,Hard",,"(Role VIEWER J 3B) GetFile Drive,Hard",Create All Items (Subclass Level)
,,,,"(Role VIEWER K 3D1) GetFile Drive,Hard","(Role VIEWER K 3D1) GetFile Drive,Hard",,"(Role VIEWER H) GetFile Drive,Hard",Role DELL LEGAL
,,,,"(Role VIEWER F) GetFile Drive,Hard","(Role VIEWER F) GetFile Drive,Hard",,Read Hard Drive TA Flex Fields,Role VIEWER I
,,,,"(Role VIEWER G) GetFile Drive,Hard","(Role VIEWER G) GetFile Drive,Hard",,"(Role VIEWER C) GetFile Drive,Hard",Role DOCUMENT SUBMITTER
,,,,"For Drive,Hard Only - Exclude SBOM","For Drive,Hard Only - Exclude SBOM",,"(Role Modify IATA Attributes) Modify Drive,Hard",Openmanage Viewer
,,,,"(Role VIEWER B) GetFile Drive,Hard","(Role VIEWER B) GetFile Drive,Hard",,"Create-Drive,Hard",Type D Role - Exclude Competitor (MITAC INTERNATIONAL CORP)
,,,,"(Role VIEWER J 3B) GetFile Drive,Hard","(Role VIEWER J 3B) GetFile Drive,Hard",,"Checkout-Drive,Hard","Type D Role - Exclude Competitor (MICRO STAR INTERNATIONAL CO., LTD.)"
,,,,"(Role VIEWER D) GetFile Drive,Hard","(Role VIEWER D) GetFile Drive,Hard",,"(Role VIEWER E) GetFile Drive,Hard",Role Check In Check Out
,,,,"(Role VIEWER H) GetFile Drive,Hard","(Role VIEWER H) GetFile Drive,Hard",,"(Role MOD PARTS P3 PROJ PLNR) Mod P3 Drive,Hard",Role CREATOR
,,,,"For Drive,Hard Only","For Drive,Hard Only",,"(Role VIEWER G) GetFile Drive,Hard",Role VIEWER F
,,,,,,,"(Role READ/DISCOVER P3) Read P3 Drive,Hard",Role READ/DISCOVER P3
,,,,,,,"(Role VIEWER I) GetFile Drive,Hard",Role MOD PARTS P3 PROJ PLNR
,,,,,,,"(Role VIEWER K 3D1) GetFile Drive,Hard",Modify Devices
,,,,,,,"Modify Attachments-Drive,Hard",Role VIEWER J 3B
,,,,,,,"(Role VIEWER B) GetFile Drive,Hard",Role VIEWER H
,,,,,,,"(Role VIEWER D) GetFile Drive,Hard",Role VIEWER C
,,,,,,,"(Role VIEWER F) GetFile Drive,Hard",Role PGDS ANALYST
,,,,,,,(Role SUPERUSER) Modify Drive Hard TA Flex Fields,Role WWP APCC CREATOR
,,,,,,,"(Role MOD PARTS P3 CMA'S) Mod P3 Drive,Hard",Role VIEWER G
,,,,,,,,Role VIEWER A
,,,,,,,,Type D Role
,,,,,,,,Role MOD PARTS P3 CMA'S
,,,,,,,,Role SUPERUSER
,,,,,,,,Role VIEWER B
,,,,,,,,Role VIEWER K 3D1
,,,,,,,,Role VIEWER D
"Drive,Zip",Parts,81,0,"(Role VIEWER D) GetFile Drive,Zip","(Role VIEWER D) GetFile Drive,Zip",,"(Role VIEWER K 3D1) GetFile Drive,Zip",Type O Role
,,,,"(Role VIEWER E) GetFile Drive,Zip","(Role VIEWER E) GetFile Drive,Zip",,"(Role READ/DISCOVER P3) Discover P3 Drive,Zip","Create All Items (Subclass Level)-No LOB, Product Hierarchies, ET-DATA"
,,,,"(Role VIEWER K 3D1) GetFile Drive,Zip","(Role VIEWER K 3D1) GetFile Drive,Zip",,"(Role VIEWER D) GetFile Drive,Zip",Role VIEWER E
,,,,"(Role VIEWER F) GetFile Drive,Zip","(Role VIEWER F) GetFile Drive,Zip",,"(Role VIEWER F) GetFile Drive,Zip",Create All Items (Subclass Level)
,,,,"(Role MOD PARTS P3 PROJ PLNR) Mod P3 Drive,Zip","(Role MOD PARTS P3 PROJ PLNR) Mod P3 Drive,Zip",,"Upgrade Supplier Access - Modify Drive,Zip",Role DELL LEGAL
,,,,"(Role VIEWER I) GetFile Drive,Zip","(Role VIEWER I) GetFile Drive,Zip",,"Checkout-Drive,Zip",Role DOCUMENT SUBMITTER
,,,,"(Role VIEWER H) GetFile Drive,Zip","(Role VIEWER H) GetFile Drive,Zip",,"(Role MOD PARTS P3 CMA'S) Mod P3 Drive,Zip",Role VIEWER I
,,,,"(Role VIEWER G) GetFile Drive,Zip","(Role VIEWER G) GetFile Drive,Zip",,"Create-Drive,Zip",Openmanage Viewer
,,,,"(Role VIEWER B) GetFile Drive,Zip","(Role VIEWER B) GetFile Drive,Zip",,"Checkin-Drive,Zip",Type D Role - Exclude Competitor (MITAC INTERNATIONAL CORP)
,,,,"(Role VIEWER C) GetFile Drive,Zip","(Role VIEWER C) GetFile Drive,Zip",,"(Role VIEWER J 3B) GetFile Drive,Zip","Type D Role - Exclude Competitor (MICRO STAR INTERNATIONAL CO., LTD.)"
,,,,"All Parts-Drive,Zip (Subclass Access)","All Parts-Drive,Zip (Subclass Access)",,"(Role VIEWER H) GetFile Drive,Zip",Role Check In Check Out
,,,,"For Drive,Zip Only","For Drive,Zip Only",,"Modify Attachments-Drive,Zip",Role VIEWER F
,,,,"For Drive,Zip Only - Exclude SBOM","For Drive,Zip Only - Exclude SBOM",,"(Role READ/DISCOVER P3) Read P3 Drive,Zip",Role CREATOR
